                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0992,                0.77382,                0.94524,                0.44136,                0.24961,                 0.2692,                0.15461,                  1.249,                 1.1261,                0.99491,             0.00055261,             0.00055261,             0.00055261
                     36,                 1.0869,                0.76837,                  0.941,                0.49968,                 0.2832,                0.28494,                0.16421,                 1.2384,                  1.014,                0.97586,             0.00054437,             0.00054437,             0.00054437
                     37,                 1.1084,                0.76702,                0.94202,                0.40335,                0.26348,                0.27553,                 0.1641,                 1.2244,                 1.0809,                0.96886,             0.00053612,             0.00053612,             0.00053612
                     38,                 1.0756,                0.75303,                0.93934,                0.39905,                0.27497,                0.26892,                0.15325,                 1.2371,                 1.0748,                0.97801,             0.00052787,             0.00052787,             0.00052787
                     39,                 1.0836,                0.75739,                0.93795,                0.44628,                0.29728,                0.28229,                0.16503,                 1.2371,                 1.0691,                0.98001,             0.00051963,             0.00051963,             0.00051963
                     40,                 1.0648,                0.73943,                0.93318,                0.45149,                0.27818,                0.28229,                0.16069,                 1.2285,                 1.0303,                0.97125,             0.00051138,             0.00051138,             0.00051138
                     41,                 1.0776,                0.74611,                0.93572,                0.48228,                0.27197,                0.28425,                0.16539,                  1.205,                 1.0111,                0.96772,             0.00050313,             0.00050313,             0.00050313
                     42,                 1.0837,                 0.7354,                0.93663,                0.45361,                0.26398,                0.26992,                0.15364,                 1.2212,                 1.0493,                0.98502,             0.00049489,             0.00049489,             0.00049489
                     43,                 1.0721,                  0.733,                0.93331,                0.44987,                0.28833,                0.28868,                0.17028,                 1.1977,                 1.0095,                0.97674,             0.00048664,             0.00048664,             0.00048664
                     44,                 1.0517,                0.72568,                0.93141,                0.46123,                0.29086,                0.29416,                0.17361,                  1.217,                  1.006,                0.97758,             0.00047839,             0.00047839,             0.00047839
                     45,                  1.058,                 0.7203,                0.93257,                0.51873,                0.27942,                0.29509,                0.16811,                 1.2159,                0.97781,                0.97767,             0.00047015,             0.00047015,             0.00047015
                     46,                 1.0618,                0.71411,                0.93093,                0.47658,                0.28168,                0.28979,                0.16605,                 1.2052,                0.99468,                0.97531,              0.0004619,              0.0004619,              0.0004619
                     47,                 1.0482,                0.71247,                 0.9323,                0.45163,                0.27389,                0.27412,                0.15843,                 1.2104,                 1.0131,                0.97166,             0.00045365,             0.00045365,             0.00045365
                     48,                  1.053,                0.70886,                0.92621,                0.47673,                0.28449,                0.30098,                0.17684,                 1.2147,                0.97869,                0.96977,             0.00044541,             0.00044541,             0.00044541
                     49,                 1.0475,                0.70793,                0.92669,                  0.527,                0.25907,                0.29038,                0.16984,                 1.1908,                 1.0091,                0.95947,             0.00043716,             0.00043716,             0.00043716
                     50,                 1.0503,                0.71307,                0.92433,                0.49257,                0.27548,                0.29152,                0.17601,                 1.1831,                0.95615,                0.95519,             0.00042891,             0.00042891,             0.00042891
                     51,                 1.0368,                0.69985,                 0.9245,                0.48363,                0.27226,                0.28404,                0.17155,                 1.1742,                 1.0025,                0.95147,             0.00042066,             0.00042066,             0.00042066
                     52,                 1.0361,                 0.6906,                0.91861,                0.49731,                0.28542,                0.30093,                0.18076,                 1.1949,                0.95755,                0.96114,             0.00041242,             0.00041242,             0.00041242
                     53,                 1.0479,                0.69541,                0.92387,                0.47849,                0.26862,                0.29139,                0.17206,                 1.1913,                 1.0019,                0.96322,             0.00040417,             0.00040417,             0.00040417
                     54,                 1.0342,                0.68908,                0.91962,                0.47316,                0.28445,                0.29282,                0.17045,                  1.192,                0.97191,                0.96893,             0.00039592,             0.00039592,             0.00039592
                     55,                 1.0249,                0.68141,                0.91607,                0.46139,                0.29061,                0.30005,                0.17763,                 1.1986,                0.95685,                0.97575,             0.00038768,             0.00038768,             0.00038768
                     56,                 1.0379,                 0.6875,                0.92075,                0.51175,                 0.2903,                 0.3014,                0.17561,                 1.2007,                0.98491,                0.97804,             0.00037943,             0.00037943,             0.00037943
                     57,                 1.0232,                0.67077,                0.91315,                0.44645,                0.28114,                0.28665,                0.16429,                 1.1958,                 1.0136,                0.96225,             0.00037118,             0.00037118,             0.00037118
                     58,                 1.0296,                0.67177,                0.91539,                0.48474,                0.26572,                0.28072,                0.16825,                 1.2207,                0.99979,                0.97282,             0.00036294,             0.00036294,             0.00036294
                     59,                 1.0121,                 0.6662,                0.91919,                0.47387,                0.28425,                0.29285,                0.17814,                  1.173,                0.98525,                0.95473,             0.00035469,             0.00035469,             0.00035469
                     60,                 1.0164,                0.67327,                0.91861,                0.47857,                 0.2785,                0.28771,                0.16684,                 1.1835,                0.96476,                0.96412,             0.00034644,             0.00034644,             0.00034644
                     61,                 1.0151,                0.67082,                0.92167,                 0.4904,                0.28316,                0.28274,                0.16212,                 1.2036,                0.97851,                 0.9684,              0.0003382,              0.0003382,              0.0003382
                     62,                 1.0054,                  0.657,                0.91456,                0.47682,                0.27932,                0.29552,                0.17023,                  1.204,                 1.0068,                0.97014,             0.00032995,             0.00032995,             0.00032995
                     63,                0.99333,                0.66038,                0.91015,                0.46479,                0.25675,                0.27742,                0.16309,                 1.1875,                 1.0021,                0.95901,              0.0003217,              0.0003217,              0.0003217
                     64,                 1.0057,                0.66293,                 0.9164,                0.44437,                0.27709,                0.28163,                0.16254,                 1.1953,                0.99659,                0.96909,             0.00031346,             0.00031346,             0.00031346
                     65,                 1.0065,                0.65586,                0.91184,                0.46144,                0.29536,                 0.2949,                 0.1731,                 1.2031,                 0.9989,                0.97021,             0.00030521,             0.00030521,             0.00030521
                     66,                0.99672,                0.64966,                0.91162,                0.50235,                 0.2862,                0.29716,                0.17576,                 1.2023,                0.99416,                0.97793,             0.00029696,             0.00029696,             0.00029696
                     67,                0.99038,                0.64314,                0.91173,                0.52739,                0.29189,                0.30076,                0.17686,                 1.1819,                0.96253,                0.95926,             0.00028872,             0.00028872,             0.00028872
                     68,                0.99996,                0.64259,                0.91191,                0.47727,                0.29602,                  0.294,                0.16733,                 1.1807,                0.97802,                0.95882,             0.00028047,             0.00028047,             0.00028047
