epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6165,2.0655,3.38437,1.42719,0.02077,0.31392,0.08147,0.04195,1.96186,3.47484,1.3341,0.0002346,0.0002346,0.0002346
2,73.3577,1.94797,2.2463,1.36306,0.65211,0.15956,0.13757,0.06456,1.9466,1.90114,1.39722,0.000467921,0.000467921,0.000467921
3,105.838,1.8759,1.89867,1.35655,0.61878,0.19016,0.15936,0.07632,1.89079,1.7544,1.37404,0.00069653,0.00069653,0.00069653
4,136.811,1.83029,1.77407,1.33408,0.47271,0.18414,0.17034,0.08397,1.90765,1.73502,1.38201,0.000692794,0.000692794,0.000692794
5,166.992,1.7928,1.70613,1.3149,0.68099,0.19236,0.18596,0.08753,1.85352,1.63517,1.36356,0.000685726,0.000685726,0.000685726
6,196.763,1.77586,1.66018,1.29834,0.6598,0.20256,0.2017,0.09936,1.82074,1.5865,1.33853,0.000678657,0.000678657,0.000678657
7,226.796,1.74982,1.62707,1.2845,0.62919,0.2177,0.22241,0.1112,1.79316,1.53005,1.32115,0.000671588,0.000671588,0.000671588
8,256.258,1.71444,1.5694,1.27441,0.58456,0.22345,0.23361,0.11728,1.80155,1.55316,1.33165,0.00066452,0.00066452,0.00066452
9,285.591,1.70281,1.52223,1.27032,0.63077,0.23361,0.24349,0.12286,1.75836,1.47249,1.30573,0.000657451,0.000657451,0.000657451
10,315.646,1.69925,1.51898,1.26737,0.63769,0.22861,0.23337,0.11746,1.75365,1.51245,1.32043,0.000650383,0.000650383,0.000650383
11,344.625,1.68065,1.47933,1.25547,0.53748,0.22659,0.23743,0.11934,1.76829,1.48799,1.31475,0.000643314,0.000643314,0.000643314
12,373.212,1.68475,1.47193,1.25512,0.50693,0.23982,0.24951,0.12228,1.79339,1.48726,1.33792,0.000636245,0.000636245,0.000636245
13,403.057,1.67708,1.43723,1.24885,0.60654,0.23531,0.2482,0.12427,1.75122,1.43365,1.3155,0.000629177,0.000629177,0.000629177
14,432.21,1.65777,1.40686,1.23455,0.49874,0.24312,0.25829,0.12921,1.74148,1.42432,1.28861,0.000622108,0.000622108,0.000622108
