epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8157,1.95339,2.47726,1.36051,0.70549,0.18528,0.18668,0.09467,1.8341,1.61674,1.32773,0.00023732,0.00023732,0.00023732
2,152.149,1.80072,1.67894,1.29692,0.60651,0.23515,0.24613,0.12524,1.7282,1.45522,1.28124,0.000470614,0.000470614,0.000470614
3,212.602,1.76467,1.56197,1.28723,0.67221,0.2431,0.25975,0.12953,1.75065,1.45038,1.30748,0.000699196,0.000699196,0.000699196
4,270.955,1.72681,1.48049,1.26956,0.65194,0.25219,0.27983,0.14531,1.68743,1.39034,1.2814,0.000692794,0.000692794,0.000692794
5,330.079,1.69955,1.41279,1.25601,0.65302,0.28151,0.29449,0.15251,1.70185,1.35176,1.27738,0.000685726,0.000685726,0.000685726
6,389.165,1.66977,1.354,1.24234,0.54836,0.28122,0.30186,0.1609,1.64665,1.3171,1.2654,0.000678657,0.000678657,0.000678657
7,447.817,1.65003,1.32331,1.23421,0.60954,0.29171,0.32385,0.16938,1.66021,1.29474,1.26048,0.000671588,0.000671588,0.000671588
8,506.688,1.63161,1.29288,1.22702,0.57132,0.31152,0.32979,0.17499,1.62293,1.25022,1.24615,0.00066452,0.00066452,0.00066452
9,566.06,1.61259,1.26824,1.21669,0.61231,0.31003,0.33321,0.17847,1.61527,1.23045,1.24692,0.000657451,0.000657451,0.000657451
10,624.411,1.60593,1.2463,1.20937,0.60031,0.3203,0.35206,0.19365,1.58418,1.22062,1.23197,0.000650383,0.000650383,0.000650383
11,683.821,1.59937,1.23436,1.20494,0.58572,0.33145,0.36538,0.20071,1.57538,1.18261,1.21618,0.000643314,0.000643314,0.000643314
12,741.558,1.58202,1.21099,1.20198,0.60231,0.34063,0.36267,0.20183,1.56472,1.19969,1.22675,0.000636245,0.000636245,0.000636245
13,799.812,1.56918,1.19466,1.19333,0.5943,0.34654,0.37492,0.20242,1.57804,1.17158,1.2066,0.000629177,0.000629177,0.000629177
14,858.863,1.56,1.1784,1.1884,0.63113,0.35484,0.38957,0.21225,1.56667,1.15298,1.21271,0.000622108,0.000622108,0.000622108
15,917.093,1.55091,1.1675,1.18924,0.66237,0.34968,0.39327,0.21858,1.5463,1.13497,1.20938,0.00061504,0.00061504,0.00061504
16,974.223,1.55149,1.16583,1.18337,0.62355,0.35656,0.38622,0.21245,1.53988,1.1359,1.20369,0.000607971,0.000607971,0.000607971
17,1033.43,1.53317,1.15166,1.17832,0.69131,0.35767,0.40269,0.22312,1.52825,1.11979,1.20095,0.000600902,0.000600902,0.000600902
18,1092.14,1.53035,1.14035,1.17516,0.69505,0.35339,0.40534,0.22579,1.52421,1.1034,1.19436,0.000593834,0.000593834,0.000593834
19,1150.11,1.51967,1.12508,1.17037,0.62241,0.37178,0.40155,0.22524,1.51776,1.09826,1.19292,0.000586765,0.000586765,0.000586765
20,1208.5,1.50854,1.12097,1.17027,0.63521,0.37829,0.40714,0.22626,1.5115,1.10032,1.189,0.000579697,0.000579697,0.000579697
21,1266.69,1.50444,1.11128,1.16543,0.64399,0.38413,0.41849,0.23272,1.50759,1.09349,1.19328,0.000572628,0.000572628,0.000572628
22,1325.49,1.5058,1.0992,1.16209,0.67365,0.39245,0.43498,0.2448,1.4977,1.06704,1.18149,0.000565559,0.000565559,0.000565559
23,1381.53,1.49458,1.09444,1.1617,0.65395,0.39887,0.43833,0.24794,1.48399,1.06289,1.17227,0.000558491,0.000558491,0.000558491
24,1439.97,1.48012,1.08196,1.1545,0.67441,0.38767,0.4374,0.24375,1.48968,1.05827,1.17633,0.000551422,0.000551422,0.000551422
25,1498.32,1.47244,1.07315,1.15363,0.67684,0.39159,0.44241,0.25142,1.47545,1.04827,1.17114,0.000544354,0.000544354,0.000544354
26,1556.54,1.47216,1.06565,1.14891,0.65466,0.4001,0.44135,0.24926,1.47775,1.05498,1.17583,0.000537285,0.000537285,0.000537285
27,1613.65,1.46211,1.05766,1.14392,0.68443,0.3927,0.44616,0.25123,1.48504,1.04349,1.16755,0.000530216,0.000530216,0.000530216
28,1672.31,1.46101,1.04976,1.14486,0.68832,0.39594,0.45079,0.25464,1.46446,1.04093,1.16371,0.000523148,0.000523148,0.000523148
29,1730.95,1.45159,1.03834,1.13733,0.67137,0.41189,0.45631,0.25771,1.46582,1.02554,1.16075,0.000516079,0.000516079,0.000516079
30,1788.36,1.44397,1.03569,1.13857,0.61338,0.44304,0.46706,0.26329,1.46125,1.02396,1.16526,0.000509011,0.000509011,0.000509011
31,1847.59,1.4373,1.02588,1.13444,0.66325,0.43243,0.47039,0.26925,1.45122,1.01358,1.1586,0.000501942,0.000501942,0.000501942
32,1904.07,1.43278,1.02261,1.1319,0.70915,0.41497,0.47132,0.2711,1.44464,1.01112,1.15689,0.000494873,0.000494873,0.000494873
33,1960.55,1.42589,1.01119,1.12888,0.64375,0.4211,0.47606,0.26922,1.45228,1.00555,1.15637,0.000487805,0.000487805,0.000487805
34,2018.65,1.42222,1.01122,1.12599,0.68426,0.43871,0.48116,0.27814,1.43424,1.00133,1.15427,0.000480736,0.000480736,0.000480736
35,2076.16,1.42198,1.00658,1.12528,0.65135,0.45399,0.49065,0.28401,1.43131,0.99383,1.15338,0.000473668,0.000473668,0.000473668
36,2134.73,1.41157,0.99613,1.12021,0.64034,0.43422,0.48423,0.27964,1.42834,0.987,1.15244,0.000466599,0.000466599,0.000466599
37,2192.8,1.40424,0.99695,1.12146,0.64989,0.4546,0.493,0.2863,1.42788,0.9895,1.14685,0.00045953,0.00045953,0.00045953
38,2249.92,1.40666,0.99194,1.11855,0.62496,0.45439,0.49139,0.28694,1.42077,0.98281,1.14302,0.000452462,0.000452462,0.000452462
39,2308.9,1.39613,0.98515,1.11427,0.70225,0.43375,0.49672,0.2926,1.41306,0.97824,1.14282,0.000445393,0.000445393,0.000445393
40,2366.91,1.38971,0.97247,1.11143,0.68994,0.44745,0.50376,0.2944,1.40522,0.97285,1.14055,0.000438325,0.000438325,0.000438325
41,2426.2,1.38807,0.97161,1.1109,0.71391,0.44292,0.5114,0.29635,1.40903,0.96828,1.1371,0.000431256,0.000431256,0.000431256
42,2485.13,1.38018,0.96059,1.10775,0.69481,0.45971,0.50961,0.29732,1.40625,0.96549,1.13933,0.000424187,0.000424187,0.000424187
43,2543.35,1.38299,0.96545,1.10974,0.6574,0.47113,0.50797,0.30066,1.40562,0.96476,1.13428,0.000417119,0.000417119,0.000417119
44,2600.86,1.37248,0.95964,1.10547,0.69516,0.45203,0.50819,0.30164,1.39311,0.95916,1.12871,0.00041005,0.00041005,0.00041005
45,2657.63,1.36733,0.95419,1.10161,0.69595,0.45022,0.52016,0.30819,1.39835,0.9558,1.13206,0.000402982,0.000402982,0.000402982
46,2715.06,1.36213,0.94795,1.10008,0.6999,0.44928,0.51576,0.30418,1.39313,0.95191,1.1299,0.000395913,0.000395913,0.000395913
47,2771.2,1.36331,0.94259,1.09741,0.66075,0.46287,0.51733,0.307,1.3852,0.94737,1.13073,0.000388844,0.000388844,0.000388844
48,2827.19,1.35827,0.94051,1.09964,0.66479,0.46389,0.51372,0.30564,1.38769,0.94579,1.12682,0.000381776,0.000381776,0.000381776
49,2883.64,1.3551,0.93687,1.0962,0.66945,0.47375,0.52748,0.31439,1.37928,0.93899,1.1256,0.000374707,0.000374707,0.000374707
50,2942.36,1.34598,0.9269,1.09099,0.70074,0.45572,0.52063,0.31043,1.38447,0.94165,1.12415,0.000367639,0.000367639,0.000367639
51,2999.64,1.35022,0.93008,1.0938,0.67792,0.47495,0.52621,0.31299,1.3752,0.93862,1.12714,0.00036057,0.00036057,0.00036057
52,3056.25,1.33616,0.91905,1.08985,0.6881,0.47954,0.53839,0.3197,1.37278,0.93172,1.12511,0.000353501,0.000353501,0.000353501
53,3113.85,1.33344,0.91713,1.08723,0.69242,0.46912,0.53129,0.31532,1.3731,0.93138,1.12548,0.000346433,0.000346433,0.000346433
54,3171.96,1.33212,0.91643,1.08867,0.68751,0.46446,0.53717,0.32148,1.36934,0.93056,1.12076,0.000339364,0.000339364,0.000339364
55,3231.26,1.32802,0.90989,1.08602,0.70292,0.4739,0.53932,0.32311,1.36031,0.92342,1.11968,0.000332296,0.000332296,0.000332296
56,3289.31,1.31912,0.90964,1.08381,0.67732,0.4879,0.54289,0.32646,1.36209,0.92019,1.1204,0.000325227,0.000325227,0.000325227
57,3346.43,1.31357,0.89865,1.07994,0.70019,0.47548,0.54238,0.32761,1.35618,0.91613,1.11693,0.000318158,0.000318158,0.000318158
58,3404.23,1.31531,0.89905,1.07826,0.70416,0.47388,0.54249,0.329,1.35467,0.91747,1.1158,0.00031109,0.00031109,0.00031109
