epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3205,1.92112,2.37955,1.41735,0.57187,0.19108,0.18239,0.09155,1.80843,1.61496,1.35827,0.00332737,0.00332737,0.00332737
2,183.863,1.78949,1.69525,1.33026,0.6567,0.22034,0.2386,0.12251,1.73789,1.47824,1.34032,0.00659476,0.00659476,0.00659476
3,266.352,1.79566,1.64384,1.32514,0.60516,0.20869,0.22721,0.11281,1.79687,1.54368,1.35238,0.00979616,0.00979616,0.00979616
4,347.582,1.7949,1.59196,1.31903,0.58018,0.23216,0.23764,0.11805,1.80835,1.53545,1.34565,0.009703,0.009703,0.009703
5,431.442,1.75,1.49624,1.29662,0.61835,0.28342,0.28705,0.14768,1.71156,1.37865,1.31082,0.009604,0.009604,0.009604
6,514.485,1.71351,1.42675,1.28086,0.54246,0.2712,0.28835,0.15132,1.7258,1.3968,1.32009,0.009505,0.009505,0.009505
7,597.926,1.68503,1.36891,1.26227,0.63572,0.2815,0.30566,0.16109,1.7045,1.34333,1.30015,0.009406,0.009406,0.009406
8,681.362,1.66176,1.32577,1.25078,0.65277,0.29637,0.32009,0.17534,1.64122,1.28133,1.26821,0.009307,0.009307,0.009307
9,762.028,1.64045,1.29369,1.24191,0.63563,0.30499,0.32404,0.17652,1.63665,1.27278,1.25626,0.009208,0.009208,0.009208
10,843.37,1.61915,1.26344,1.23028,0.59576,0.31928,0.3472,0.1881,1.59505,1.2208,1.2509,0.009109,0.009109,0.009109
11,925.065,1.60766,1.23808,1.22196,0.60427,0.32237,0.35452,0.19497,1.59792,1.21946,1.23809,0.00901,0.00901,0.00901
12,1006.77,1.59635,1.22696,1.21684,0.68147,0.33445,0.37389,0.20613,1.56009,1.1661,1.22742,0.008911,0.008911,0.008911
13,1089.48,1.58249,1.20356,1.21111,0.62242,0.35384,0.38592,0.21409,1.54888,1.14993,1.21565,0.008812,0.008812,0.008812
14,1171.75,1.56735,1.18457,1.20392,0.51631,0.36068,0.39234,0.21826,1.53115,1.12845,1.21436,0.008713,0.008713,0.008713
15,1249.27,1.55721,1.17194,1.19732,0.64331,0.36983,0.40575,0.22535,1.52122,1.11227,1.20897,0.008614,0.008614,0.008614
16,1327.5,1.54811,1.15722,1.19412,0.63475,0.37526,0.40907,0.22535,1.53634,1.11725,1.19618,0.008515,0.008515,0.008515
17,1409.3,1.5396,1.14615,1.18986,0.62623,0.3951,0.42716,0.24215,1.51364,1.09338,1.20126,0.008416,0.008416,0.008416
18,1491.58,1.52841,1.1332,1.18286,0.56249,0.3877,0.42729,0.24111,1.49928,1.07024,1.19522,0.008317,0.008317,0.008317
19,1572.68,1.52117,1.12277,1.17943,0.58602,0.40106,0.43922,0.24885,1.48864,1.0641,1.19243,0.008218,0.008218,0.008218
20,1653.06,1.51422,1.11386,1.17975,0.64983,0.39066,0.44178,0.25168,1.48178,1.05901,1.18423,0.008119,0.008119,0.008119
21,1736.78,1.50489,1.09589,1.16868,0.65613,0.40286,0.44565,0.25516,1.48441,1.05174,1.18794,0.00802,0.00802,0.00802
22,1818.18,1.50123,1.09703,1.17142,0.60589,0.40832,0.45372,0.25998,1.47417,1.05056,1.17638,0.007921,0.007921,0.007921
23,1899.5,1.48631,1.07797,1.16306,0.68284,0.41024,0.46587,0.26883,1.45768,1.02706,1.17391,0.007822,0.007822,0.007822
24,1982.67,1.48342,1.07569,1.16271,0.57609,0.432,0.46843,0.27098,1.45035,1.01457,1.17084,0.007723,0.007723,0.007723
25,2065.54,1.47475,1.07074,1.15787,0.6769,0.41762,0.47575,0.27762,1.45387,1.01879,1.16904,0.007624,0.007624,0.007624
26,2147.47,1.46852,1.05753,1.15316,0.65269,0.42225,0.47528,0.27509,1.43247,0.99859,1.16264,0.007525,0.007525,0.007525
27,2229.76,1.46312,1.04888,1.15065,0.6497,0.42176,0.47583,0.279,1.42669,0.99788,1.16192,0.007426,0.007426,0.007426
28,2312.44,1.45647,1.04413,1.14903,0.69218,0.43266,0.49254,0.28751,1.43145,0.98784,1.15819,0.007327,0.007327,0.007327
29,2392.38,1.44864,1.03379,1.14337,0.64761,0.43033,0.48902,0.28766,1.41757,0.98048,1.14738,0.007228,0.007228,0.007228
30,2474.94,1.4475,1.03065,1.14394,0.66756,0.43932,0.50449,0.29615,1.41587,0.97016,1.14695,0.007129,0.007129,0.007129
31,2558.02,1.43784,1.02372,1.14007,0.70081,0.43993,0.50285,0.29694,1.41318,0.97314,1.14751,0.00703,0.00703,0.00703
32,2640.35,1.43562,1.01818,1.14043,0.62372,0.46031,0.5089,0.3012,1.40355,0.96055,1.14246,0.006931,0.006931,0.006931
33,2723.89,1.42379,1.00974,1.13351,0.63593,0.46977,0.51611,0.30739,1.3962,0.95659,1.14205,0.006832,0.006832,0.006832
34,2806.17,1.42006,1.00419,1.13122,0.69404,0.45622,0.52467,0.31342,1.39128,0.94975,1.13714,0.006733,0.006733,0.006733
35,2889.07,1.41441,1.00086,1.13244,0.71026,0.45199,0.527,0.31444,1.37995,0.93944,1.13486,0.006634,0.006634,0.006634
36,2972.67,1.40906,0.98932,1.12631,0.70178,0.45601,0.52326,0.30964,1.37589,0.93398,1.13267,0.006535,0.006535,0.006535
37,3055.46,1.40589,0.98582,1.1251,0.68996,0.45537,0.52394,0.31468,1.36837,0.92933,1.127,0.006436,0.006436,0.006436
38,3137.7,1.40133,0.98635,1.12408,0.64803,0.48812,0.53356,0.32003,1.3639,0.92216,1.12697,0.006337,0.006337,0.006337
39,3218.51,1.39543,0.97619,1.11868,0.67951,0.46823,0.53924,0.32553,1.3603,0.91734,1.12199,0.006238,0.006238,0.006238
40,3299.29,1.39019,0.97288,1.11814,0.68317,0.48162,0.54256,0.32456,1.3568,0.91384,1.12359,0.006139,0.006139,0.006139
41,3380.68,1.38344,0.96589,1.11455,0.71824,0.46922,0.54747,0.33127,1.35128,0.91036,1.12042,0.00604,0.00604,0.00604
42,3463.93,1.38062,0.96022,1.11513,0.6611,0.50261,0.55962,0.33456,1.34812,0.90556,1.11889,0.005941,0.005941,0.005941
43,3545.3,1.37502,0.95808,1.11126,0.68956,0.51168,0.56304,0.33823,1.33939,0.89771,1.11541,0.005842,0.005842,0.005842
44,3626.09,1.3645,0.9463,1.10862,0.73428,0.49766,0.56872,0.34435,1.33537,0.89473,1.11214,0.005743,0.005743,0.005743
45,3707.99,1.36486,0.94916,1.10758,0.73882,0.49135,0.56732,0.34364,1.33277,0.89327,1.11338,0.005644,0.005644,0.005644
46,3789.14,1.36044,0.94343,1.10713,0.72491,0.5024,0.57275,0.34802,1.32891,0.88703,1.10942,0.005545,0.005545,0.005545
47,3871.6,1.35751,0.9393,1.10482,0.72644,0.51131,0.57117,0.3469,1.32521,0.88582,1.10614,0.005446,0.005446,0.005446
48,3953.53,1.35286,0.92961,1.1009,0.71841,0.49838,0.57281,0.34906,1.3224,0.87915,1.10595,0.005347,0.005347,0.005347
49,4035.33,1.35023,0.93332,1.10203,0.73971,0.50024,0.57904,0.35349,1.31917,0.87541,1.10408,0.005248,0.005248,0.005248
