epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1152.04,1.48425,1.26057,1.14468,0.46281,0.2138,0.20877,0.1006,1.8346,1.52529,1.34709,0.000424187,0.000424187,0.000424187
43,1182.41,1.49947,1.25459,1.14321,0.45175,0.23094,0.22211,0.10682,1.81906,1.49231,1.34525,0.000417119,0.000417119,0.000417119
44,1212.6,1.49749,1.25898,1.13701,0.44232,0.22953,0.21416,0.10171,1.82933,1.49387,1.34954,0.00041005,0.00041005,0.00041005
45,1242.66,1.5195,1.24799,1.15259,0.44127,0.21903,0.21223,0.1015,1.82251,1.49984,1.34732,0.000402982,0.000402982,0.000402982
46,1272.75,1.44549,1.19159,1.12982,0.45753,0.22174,0.21914,0.10669,1.80752,1.49601,1.33536,0.000395913,0.000395913,0.000395913
47,1303.4,1.47396,1.23036,1.12597,0.47824,0.22372,0.22393,0.10938,1.83277,1.51989,1.33841,0.000388844,0.000388844,0.000388844
48,1333.39,1.47213,1.21114,1.12241,0.48191,0.22402,0.22591,0.11138,1.79318,1.49322,1.33509,0.000381776,0.000381776,0.000381776
49,1363.41,1.47074,1.24586,1.12603,0.45651,0.23716,0.2294,0.11281,1.80004,1.5205,1.34836,0.000374707,0.000374707,0.000374707
50,1393.72,1.45036,1.20019,1.1317,0.46319,0.22725,0.22676,0.11327,1.79427,1.50427,1.34616,0.000367639,0.000367639,0.000367639
51,1428.29,1.44618,1.19253,1.11256,0.49294,0.23155,0.23015,0.11509,1.80107,1.49416,1.33758,0.00036057,0.00036057,0.00036057
52,1466.92,1.43061,1.19718,1.11562,0.48496,0.23137,0.23298,0.11784,1.8168,1.51397,1.34556,0.000353501,0.000353501,0.000353501
53,1506.88,1.42803,1.19549,1.1296,0.48067,0.23533,0.23526,0.11774,1.80485,1.52002,1.3258,0.000346433,0.000346433,0.000346433
54,1541.27,1.45271,1.16983,1.11482,0.48358,0.22742,0.22646,0.11246,1.81883,1.51394,1.33078,0.000339364,0.000339364,0.000339364
55,1576.03,1.42974,1.17533,1.12232,0.50889,0.22713,0.2333,0.11538,1.81035,1.49469,1.32353,0.000332296,0.000332296,0.000332296
56,1611.25,1.43081,1.17697,1.11261,0.51115,0.23768,0.24388,0.12121,1.78224,1.46869,1.31687,0.000325227,0.000325227,0.000325227
57,1646.92,1.45973,1.17035,1.10418,0.47558,0.24764,0.24053,0.11822,1.81673,1.46197,1.34438,0.000318158,0.000318158,0.000318158
58,1680.73,1.38569,1.12217,1.1076,0.51876,0.22335,0.23732,0.11633,1.81958,1.46711,1.34905,0.00031109,0.00031109,0.00031109
59,1714.8,1.3792,1.12675,1.09568,0.49298,0.22906,0.23614,0.11679,1.79946,1.47281,1.33913,0.000304021,0.000304021,0.000304021
60,1749.78,1.40871,1.12877,1.10515,0.5241,0.23251,0.24089,0.1185,1.80036,1.46929,1.32762,0.000296953,0.000296953,0.000296953
61,1784.28,1.39491,1.13478,1.09157,0.52045,0.22873,0.23834,0.11743,1.79144,1.45995,1.33526,0.000289884,0.000289884,0.000289884
62,1818.24,1.37355,1.12839,1.09012,0.50734,0.24001,0.23774,0.11786,1.7775,1.46706,1.33624,0.000282815,0.000282815,0.000282815
63,1853.33,1.37056,1.11332,1.09709,0.51285,0.23525,0.23969,0.1184,1.78145,1.45731,1.34394,0.000275747,0.000275747,0.000275747
64,1887.53,1.39227,1.11078,1.07969,0.47175,0.24454,0.24026,0.11817,1.7968,1.43979,1.33695,0.000268678,0.000268678,0.000268678
65,1921.48,1.37003,1.11658,1.08972,0.46532,0.24542,0.24047,0.11817,1.79601,1.45835,1.32978,0.00026161,0.00026161,0.00026161
66,1956.45,1.37369,1.11109,1.08488,0.49508,0.24952,0.24673,0.1215,1.79462,1.45716,1.33069,0.000254541,0.000254541,0.000254541
67,1991.7,1.36587,1.10254,1.10407,0.51205,0.25125,0.24762,0.123,1.78655,1.4637,1.3304,0.000247472,0.000247472,0.000247472
68,2026.02,1.34596,1.0863,1.07724,0.52289,0.25095,0.24881,0.12318,1.79182,1.45805,1.32672,0.000240404,0.000240404,0.000240404
69,2059.39,1.34815,1.10639,1.08083,0.51467,0.24798,0.24357,0.12103,1.79657,1.48676,1.32613,0.000233335,0.000233335,0.000233335
70,2094.29,1.33889,1.06959,1.06739,0.50801,0.2358,0.24157,0.1203,1.79872,1.47088,1.33439,0.000226267,0.000226267,0.000226267
71,2128.94,1.33512,1.08369,1.07719,0.49073,0.25726,0.24843,0.12384,1.79317,1.44847,1.32877,0.000219198,0.000219198,0.000219198
72,2162.48,1.30275,1.05287,1.05712,0.49502,0.248,0.24604,0.12171,1.79908,1.43838,1.32828,0.000212129,0.000212129,0.000212129
73,2197.42,1.33425,1.05894,1.07831,0.51206,0.24554,0.24585,0.12182,1.79595,1.45457,1.32652,0.000205061,0.000205061,0.000205061
74,2232.34,1.28603,1.03973,1.07225,0.49908,0.25726,0.2516,0.12324,1.78909,1.4589,1.32849,0.000197992,0.000197992,0.000197992
75,2266.87,1.30574,1.03922,1.05766,0.51863,0.2496,0.2516,0.1217,1.80123,1.45145,1.34026,0.000190924,0.000190924,0.000190924
76,2300.77,1.29755,1.04594,1.07276,0.53137,0.24541,0.2534,0.12439,1.78674,1.44528,1.33571,0.000183855,0.000183855,0.000183855
77,2335.49,1.2985,1.02489,1.05607,0.532,0.24411,0.25156,0.12388,1.77453,1.44118,1.3325,0.000176786,0.000176786,0.000176786
