                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.81566,                0.46914,                0.86558,                0.49993,                0.30179,                0.31798,                0.18777,                 1.1081,                0.95959,                0.95982,               0.006436,               0.006436,               0.006436
                     38,                 0.8135,                0.46708,                0.86469,                0.49535,                0.30303,                0.31745,                0.18832,                 1.1081,                0.96173,                0.95966,               0.006337,               0.006337,               0.006337
                     39,                0.80972,                0.46402,                 0.8635,                 0.4844,                0.30377,                0.31651,                0.18794,                 1.1083,                0.96327,                0.95961,               0.006238,               0.006238,               0.006238
                     40,                0.80819,                0.46332,                0.86348,                 0.4803,                0.30363,                0.31581,                0.18765,                 1.1083,                0.96562,                0.95983,               0.006139,               0.006139,               0.006139
                     41,                0.80827,                0.46304,                0.86344,                0.48283,                0.30288,                0.31666,                0.18789,                 1.1081,                0.96558,                0.95964,                0.00604,                0.00604,                0.00604
                     42,                0.80576,                0.46137,                0.86216,                0.48021,                0.30074,                0.31608,                0.18764,                 1.1084,                0.96599,                0.95986,               0.005941,               0.005941,               0.005941
                     43,                0.80195,                0.45915,                0.86199,                0.48146,                0.29834,                0.31569,                0.18739,                 1.1086,                0.96623,                 0.9604,               0.005842,               0.005842,               0.005842
                     44,                0.80019,                0.45711,                0.86145,                0.50174,                0.29233,                0.31519,                0.18697,                 1.1089,                 0.9679,                0.96097,               0.005743,               0.005743,               0.005743
                     45,                0.79814,                0.45604,                0.86049,                0.51374,                0.28756,                0.31481,                 0.1868,                 1.1094,                0.96992,                0.96132,               0.005644,               0.005644,               0.005644
                     46,                0.79753,                0.45624,                0.86062,                0.51333,                0.28761,                0.31453,                0.18666,                 1.1098,                0.97027,                0.96152,               0.005545,               0.005545,               0.005545
                     47,                0.79442,                0.45323,                 0.8595,                0.51279,                0.28718,                0.31364,                0.18624,                 1.1107,                0.97162,                0.96231,               0.005446,               0.005446,               0.005446
                     48,                0.79288,                 0.4524,                0.85921,                0.51914,                0.28427,                0.31342,                0.18592,                 1.1111,                 0.9736,                0.96295,               0.005347,               0.005347,               0.005347
                     49,                0.78993,                0.45041,                0.85906,                0.51719,                0.28448,                0.31315,                0.18558,                 1.1116,                0.97556,                0.96405,               0.005248,               0.005248,               0.005248
                     50,                0.78848,                 0.4494,                0.85857,                0.50658,                0.28656,                0.31285,                0.18529,                  1.112,                0.97755,                0.96481,               0.005149,               0.005149,               0.005149
                     51,                0.78713,                0.44877,                0.85746,                 0.5083,                0.28686,                0.31316,                0.18516,                 1.1126,                0.97937,                0.96544,                0.00505,                0.00505,                0.00505
                     52,                0.78539,                0.44735,                 0.8579,                0.50743,                0.28525,                0.31267,                0.18469,                 1.1129,                0.98074,                0.96562,               0.004951,               0.004951,               0.004951
                     53,                0.78214,                0.44535,                0.85699,                0.51049,                0.28364,                0.31154,                0.18422,                 1.1131,                0.98248,                0.96582,               0.004852,               0.004852,               0.004852
                     54,                0.77927,                0.44383,                0.85594,                0.52028,                0.28094,                 0.3115,                 0.1838,                 1.1138,                0.98594,                0.96672,               0.004753,               0.004753,               0.004753
                     55,                 0.7791,                0.44314,                0.85639,                0.52016,                0.27997,                0.31129,                0.18346,                 1.1148,                0.98868,                0.96743,               0.004654,               0.004654,               0.004654
                     56,                0.77802,                0.44165,                0.85549,                0.51593,                0.28144,                0.31101,                0.18332,                 1.1162,                0.99086,                0.96849,               0.004555,               0.004555,               0.004555
                     57,                0.77571,                0.44075,                0.85561,                0.51511,                0.28264,                0.31102,                 0.1832,                 1.1176,                0.99357,                0.96972,               0.004456,               0.004456,               0.004456
                     58,                0.77422,                0.43975,                0.85489,                0.51828,                0.28177,                0.31117,                0.18317,                 1.1188,                0.99492,                0.97031,               0.004357,               0.004357,               0.004357
                     59,                0.77125,                0.43767,                0.85398,                0.52319,                0.27946,                 0.3114,                0.18291,                 1.1203,                0.99662,                0.97109,               0.004258,               0.004258,               0.004258
