                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5151,                 3.0256,                 1.0576,                 0.0152,                0.18227,                0.04798,                0.03461,                 1.4598,                 3.5633,                0.95893,             0.00027243,             0.00027243,             0.00027243
                      2,                 1.4472,                 1.6534,                 1.0346,                0.80497,                0.09725,                0.15786,                0.09553,                 1.4701,                 2.0639,                0.98424,              0.0005392,              0.0005392,              0.0005392
                      3,                 1.4078,                 1.4078,                 1.0268,                0.64762,                0.20665,                0.19839,                0.11919,                 1.3863,                 1.4722,                0.99524,             0.00079498,             0.00079498,             0.00079498
                      4,                 1.3548,                 1.2927,                 1.0169,                0.50783,                0.22346,                0.22993,                0.13391,                 1.3439,                 1.2788,                0.98488,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.3145,                 1.2196,                 1.0079,                0.38197,                0.21832,                0.20482,                0.11453,                 1.4005,                 1.2839,                 1.0038,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.3123,                 1.1871,                 1.0092,                0.45157,                0.21934,                0.20956,                0.11945,                 1.3027,                 1.2258,                0.98443,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.2796,                 1.1388,                0.99768,                0.52807,                0.23411,                0.23917,                0.13935,                 1.2946,                 1.1607,                0.99686,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.2643,                 1.0971,                0.99062,                0.43605,                0.21929,                0.22548,                0.13441,                  1.318,                 1.1912,                0.99465,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.2645,                  1.079,                0.99281,                0.47545,                0.23529,                0.23231,                0.13623,                 1.3574,                 1.1968,                 1.0077,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.2503,                 1.0612,                0.98999,                0.48378,                0.24535,                0.23852,                 0.1374,                 1.3283,                 1.3326,                 1.0016,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.2235,                 1.0273,                0.98109,                0.34626,                0.23137,                0.22087,                0.12602,                    1.3,                 1.1613,                0.98748,             0.00066807,             0.00066807,             0.00066807
                     12,                 1.2204,                 1.0129,                0.98493,                 0.3606,                0.25853,                0.24292,                0.14108,                 1.2898,                 1.1579,                0.99053,             0.00065157,             0.00065157,             0.00065157
                     13,                  1.201,                 0.9932,                0.97676,                0.50967,                0.25026,                0.26641,                0.15333,                 1.2553,                 1.0795,                 0.9743,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.2039,                0.98542,                0.96888,                0.45664,                0.27097,                0.25894,                0.15325,                 1.2851,                 1.0833,                0.98007,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.1787,                0.94347,                0.96877,                0.47976,                0.25666,                0.25374,                0.15298,                 1.2787,                 1.2291,                0.98808,             0.00060209,             0.00060209,             0.00060209
                     16,                 1.1798,                0.94628,                0.96514,                0.42868,                0.22645,                0.23192,                0.13267,                 1.2678,                 1.1677,                0.97489,              0.0005856,              0.0005856,              0.0005856
                     17,                 1.1882,                0.93673,                0.96686,                0.49686,                0.26647,                0.26088,                0.15725,                 1.2634,                  1.146,                0.98947,             0.00056911,             0.00056911,             0.00056911
                     18,                 1.1625,                0.92075,                 0.9594,                0.40045,                0.28518,                0.26175,                0.15009,                 1.2985,                 1.0561,                0.99012,             0.00055261,             0.00055261,             0.00055261
                     19,                  1.163,                0.90394,                 0.9616,                0.49557,                0.26797,                0.28462,                0.16806,                 1.2503,                 1.0616,                0.98663,             0.00053612,             0.00053612,             0.00053612
                     20,                 1.1713,                   0.89,                0.96407,                0.48713,                0.23143,                0.25639,                0.14988,                 1.2513,                 1.1146,                0.98596,             0.00051963,             0.00051963,             0.00051963
                     21,                 1.1453,                0.86775,                0.95553,                0.42735,                 0.2716,                0.26979,                0.15913,                 1.2932,                 1.0426,                0.99493,             0.00050313,             0.00050313,             0.00050313
                     22,                 1.1334,                0.85361,                0.95521,                0.47251,                0.26154,                0.27486,                0.16129,                  1.253,                 1.0244,                0.97689,             0.00048664,             0.00048664,             0.00048664
                     23,                 1.1274,                0.84882,                0.95178,                0.42211,                0.27001,                0.26617,                0.15432,                 1.2578,                 1.0603,                0.98198,             0.00047015,             0.00047015,             0.00047015
                     24,                 1.1289,                0.84308,                0.94864,                0.50034,                0.21943,                0.24154,                 0.1411,                 1.2566,                 1.1584,                0.98937,             0.00045365,             0.00045365,             0.00045365
                     25,                 1.1035,                0.82837,                0.94647,                0.48634,                0.26058,                0.27385,                0.15842,                 1.2516,                 1.0436,                0.98369,             0.00043716,             0.00043716,             0.00043716
                     26,                 1.1015,                0.81912,                 0.9429,                0.45572,                 0.2594,                0.25898,                0.14759,                 1.2546,                 1.0926,                0.98879,             0.00042066,             0.00042066,             0.00042066
                     27,                 1.0985,                0.81896,                0.95077,                0.47848,                 0.2688,                0.30158,                0.18235,                 1.2085,                0.99813,                0.96484,             0.00040417,             0.00040417,             0.00040417
                     28,                  1.102,                0.80168,                0.94308,                0.50328,                0.28892,                0.29066,                0.17045,                 1.2354,                 1.0058,                 0.9716,             0.00038768,             0.00038768,             0.00038768
                     29,                  1.081,                0.79093,                0.93835,                0.45205,                0.24427,                0.26146,                0.15322,                 1.2365,                 1.0218,                0.97265,             0.00037118,             0.00037118,             0.00037118
                     30,                 1.0971,                0.78898,                0.94233,                0.44047,                0.29797,                0.28839,                0.17077,                 1.2044,                 0.9906,                0.95593,             0.00035469,             0.00035469,             0.00035469
                     31,                 1.0703,                0.77476,                0.93522,                0.47832,                0.29196,                0.28765,                0.16805,                 1.2156,                 1.0298,                0.96765,              0.0003382,              0.0003382,              0.0003382
                     32,                 1.0596,                0.76417,                0.93136,                0.49689,                0.28463,                0.28702,                0.16586,                 1.2146,                 1.0015,                0.96313,              0.0003217,              0.0003217,              0.0003217
                     33,                 1.0717,                0.76874,                0.93177,                0.46623,                 0.2933,                0.28669,                0.16521,                 1.2286,                 1.0572,                0.97038,             0.00030521,             0.00030521,             0.00030521
                     34,                 1.0774,                0.76375,                0.93381,                0.45681,                0.28858,                 0.2861,                0.16644,                 1.2243,                 1.0231,                0.97102,             0.00028872,             0.00028872,             0.00028872
                     35,                 1.0699,                 0.7561,                0.93624,                0.40201,                0.27004,                0.27799,                0.16147,                 1.2372,                 1.0339,                0.98761,             0.00027222,             0.00027222,             0.00027222
                     36,                 1.0463,                0.74106,                 0.9296,                0.46793,                0.27782,                0.28887,                0.17049,                 1.1975,                0.95943,                0.96366,             0.00025573,             0.00025573,             0.00025573
                     37,                 1.0739,                0.74797,                0.93126,                0.44223,                0.30267,                  0.299,                0.17745,                 1.2066,                0.96077,                0.96638,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.0358,                0.72448,                0.92731,                0.43909,                0.28147,                0.28395,                0.16816,                 1.2083,                0.98304,                0.96926,             0.00022274,             0.00022274,             0.00022274
                     39,                 1.0418,                0.72589,                0.92616,                0.47571,                0.28445,                0.29457,                0.17734,                  1.191,                0.97097,                 0.9608,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.0336,                0.72121,                0.92451,                0.50356,                0.29807,                0.30379,                 0.1819,                  1.185,                0.94743,                0.96236,             0.00018976,             0.00018976,             0.00018976
                     41,                 1.0656,                0.75637,                0.92701,                0.45137,                0.27537,                0.26674,                0.15922,                 1.2129,                 1.0438,                0.97845,             0.00017326,             0.00017326,             0.00017326
                     42,                 1.0367,                0.71805,                0.91652,                0.46639,                0.27074,                0.28097,                0.17038,                 1.1891,                0.98989,                0.96426,             0.00015677,             0.00015677,             0.00015677
                     43,                 1.0325,                0.70984,                0.91734,                 0.4822,                0.28581,                0.28556,                0.17405,                 1.1871,                0.96387,                0.97107,             0.00014028,             0.00014028,             0.00014028
                     44,                 1.0238,                0.69555,                0.91148,                0.49696,                0.27848,                 0.2884,                0.17498,                  1.198,                 0.9752,                0.95685,             0.00012378,             0.00012378,             0.00012378
                     45,                  1.013,                0.68839,                 0.9128,                0.45786,                0.28038,                0.27878,                0.17172,                 1.2039,                0.98297,                 0.9558,             0.00010729,             0.00010729,             0.00010729
                     46,                 1.0177,                0.69309,                0.90716,                0.47011,                0.27616,                0.28055,                0.16928,                 1.1893,                0.98934,                0.95322,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                 1.0102,                0.68734,                0.90777,                0.45939,                0.28795,                0.28677,                0.17344,                 1.1939,                0.98686,                0.96127,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                 1.0011,                0.67612,                0.90878,                0.46328,                0.29389,                0.29036,                0.17653,                 1.1886,                0.97591,                0.95621,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                 1.0019,                0.66872,                0.90804,                0.46668,                0.29416,                0.28949,                0.17525,                 1.1844,                0.97255,                0.95503,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.99632,                0.66548,                0.90336,                 0.4601,                0.29532,                0.29164,                0.17503,                 1.1813,                0.95926,                0.95339,             2.4823e-05,             2.4823e-05,             2.4823e-05
