epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5042.12,1.35598,0.93323,1.10072,0.7687,0.51858,0.59932,0.36923,1.30072,0.85837,1.09624,0.005842,0.005842,0.005842
44,5161.52,1.3509,0.93417,1.10168,0.74685,0.52926,0.60505,0.37192,1.29413,0.85432,1.09379,0.005743,0.005743,0.005743
45,5280.79,1.34742,0.92822,1.09881,0.75261,0.53347,0.61052,0.37937,1.28843,0.85042,1.08956,0.005644,0.005644,0.005644
46,5399.89,1.3393,0.92173,1.09496,0.75328,0.53112,0.61346,0.38151,1.28591,0.84866,1.08775,0.005545,0.005545,0.005545
47,5518.35,1.34657,0.92382,1.09736,0.76518,0.52994,0.61338,0.38091,1.2828,0.84587,1.08771,0.005446,0.005446,0.005446
48,5637.18,1.33595,0.918,1.09292,0.77045,0.53684,0.61696,0.38461,1.27906,0.84066,1.08666,0.005347,0.005347,0.005347
49,5755.73,1.3304,0.9092,1.09128,0.77546,0.53699,0.61493,0.38447,1.27391,0.83894,1.08351,0.005248,0.005248,0.005248
50,5874.19,1.32844,0.91133,1.09145,0.75564,0.54116,0.6176,0.38579,1.27186,0.83587,1.08167,0.005149,0.005149,0.005149
51,5992.9,1.31879,0.90243,1.08783,0.75845,0.5444,0.61631,0.38774,1.26959,0.83281,1.08133,0.00505,0.00505,0.00505
52,6111.71,1.3174,0.89936,1.08551,0.73879,0.54878,0.61938,0.39093,1.26681,0.82844,1.07945,0.004951,0.004951,0.004951
53,6230.24,1.3158,0.89658,1.08503,0.75294,0.55552,0.62394,0.39306,1.26557,0.82777,1.07948,0.004852,0.004852,0.004852
54,6349.09,1.31082,0.89246,1.08242,0.7681,0.55047,0.62497,0.39452,1.25857,0.82244,1.0772,0.004753,0.004753,0.004753
55,6468.02,1.30516,0.88525,1.07806,0.77064,0.55422,0.62719,0.3962,1.25527,0.8208,1.0753,0.004654,0.004654,0.004654
56,6586.91,1.30336,0.88565,1.08032,0.77376,0.5488,0.63041,0.39896,1.25195,0.81745,1.07426,0.004555,0.004555,0.004555
57,6705.02,1.2984,0.88268,1.07783,0.79979,0.54846,0.63539,0.40284,1.25048,0.81506,1.07324,0.004456,0.004456,0.004456
58,6823.51,1.29725,0.87973,1.07917,0.77384,0.5568,0.63739,0.4048,1.24767,0.81316,1.07289,0.004357,0.004357,0.004357
59,6942.63,1.29324,0.87623,1.07451,0.76453,0.55679,0.63685,0.4055,1.24375,0.81146,1.07082,0.004258,0.004258,0.004258
60,7061.95,1.2885,0.87045,1.07116,0.75175,0.56159,0.63557,0.40375,1.241,0.80791,1.06898,0.004159,0.004159,0.004159
61,7180.78,1.28583,0.86769,1.07233,0.74983,0.56667,0.63785,0.40548,1.23944,0.80543,1.06805,0.00406,0.00406,0.00406
62,7299.49,1.28282,0.8618,1.06956,0.76394,0.55896,0.639,0.40813,1.23697,0.80316,1.06702,0.003961,0.003961,0.003961
63,7418.52,1.27775,0.86121,1.06912,0.7485,0.56771,0.63896,0.40801,1.23578,0.80176,1.06659,0.003862,0.003862,0.003862
64,7537.6,1.27812,0.86244,1.0687,0.75721,0.56986,0.64229,0.41085,1.23285,0.80032,1.06526,0.003763,0.003763,0.003763
65,7656.68,1.27027,0.85362,1.06487,0.75779,0.57444,0.64282,0.41055,1.23198,0.79931,1.065,0.003664,0.003664,0.003664
66,7775.43,1.26608,0.84769,1.06454,0.74232,0.58388,0.64438,0.41229,1.22974,0.79687,1.06413,0.003565,0.003565,0.003565
67,7893.77,1.26009,0.84558,1.06127,0.75988,0.5822,0.64808,0.41378,1.2282,0.79492,1.06305,0.003466,0.003466,0.003466
68,8011.88,1.25793,0.84513,1.05948,0.76852,0.58035,0.64884,0.41489,1.22702,0.79287,1.0624,0.003367,0.003367,0.003367
69,8130.38,1.25745,0.83866,1.06056,0.77362,0.57417,0.65041,0.41776,1.22512,0.7914,1.06203,0.003268,0.003268,0.003268
70,8249.21,1.25409,0.83935,1.0578,0.77151,0.57493,0.65189,0.41795,1.22317,0.78988,1.06067,0.003169,0.003169,0.003169
71,8368.16,1.24928,0.83553,1.05719,0.76799,0.58227,0.65405,0.42116,1.22122,0.78821,1.05988,0.00307,0.00307,0.00307
72,8486.96,1.243,0.83143,1.05324,0.76659,0.58197,0.65606,0.42528,1.21938,0.78649,1.05892,0.002971,0.002971,0.002971
73,8605.8,1.23877,0.82911,1.05188,0.78091,0.57868,0.65709,0.42571,1.21781,0.78468,1.05814,0.002872,0.002872,0.002872
74,8723.89,1.23172,0.82175,1.04904,0.78957,0.57634,0.6601,0.42742,1.21617,0.7837,1.05719,0.002773,0.002773,0.002773
75,8842.77,1.23176,0.81917,1.05046,0.80584,0.57485,0.66232,0.43013,1.21497,0.78202,1.05684,0.002674,0.002674,0.002674
76,8962.03,1.23126,0.82015,1.04909,0.79681,0.57956,0.66274,0.42945,1.21353,0.78062,1.0563,0.002575,0.002575,0.002575
77,9080.65,1.22879,0.8216,1.05015,0.79599,0.58003,0.66386,0.43128,1.21239,0.77948,1.05602,0.002476,0.002476,0.002476
78,9199.21,1.223,0.81483,1.04728,0.79419,0.58618,0.66463,0.43294,1.21088,0.77848,1.05559,0.002377,0.002377,0.002377
79,9318.93,1.21669,0.81131,1.04543,0.79942,0.5836,0.66641,0.434,1.20972,0.77749,1.05518,0.002278,0.002278,0.002278
80,9438.14,1.21921,0.81345,1.04452,0.79752,0.58626,0.66826,0.43562,1.20868,0.77668,1.05487,0.002179,0.002179,0.002179
81,9557.17,1.21551,0.80595,1.04326,0.79742,0.58706,0.66883,0.43699,1.20784,0.7757,1.05438,0.00208,0.00208,0.00208
82,9675.82,1.21069,0.80336,1.04138,0.80419,0.58349,0.66922,0.43687,1.20692,0.7748,1.05389,0.001981,0.001981,0.001981
83,9794.72,1.20857,0.80126,1.04051,0.80992,0.58323,0.6701,0.43725,1.20591,0.77399,1.05334,0.001882,0.001882,0.001882
84,9913.34,1.20434,0.79923,1.03994,0.80584,0.58635,0.67092,0.43784,1.20512,0.77273,1.05298,0.001783,0.001783,0.001783
85,10032.1,1.19954,0.79459,1.03773,0.80454,0.58764,0.67142,0.43842,1.20445,0.77227,1.05267,0.001684,0.001684,0.001684
86,10151.2,1.19929,0.79339,1.03638,0.79621,0.5931,0.67229,0.43924,1.20344,0.7717,1.05229,0.001585,0.001585,0.001585
87,10269.7,1.19277,0.79093,1.03429,0.7919,0.59683,0.67337,0.44068,1.20259,0.77121,1.05199,0.001486,0.001486,0.001486
88,10388.7,1.19231,0.79056,1.03595,0.79136,0.59803,0.6727,0.44113,1.20165,0.77056,1.05157,0.001387,0.001387,0.001387
89,10507.3,1.18809,0.78494,1.03253,0.788,0.60147,0.67344,0.44153,1.20089,0.76981,1.05122,0.001288,0.001288,0.001288
90,10625.8,1.18327,0.78273,1.03197,0.78347,0.60639,0.67378,0.44153,1.20012,0.76949,1.05097,0.001189,0.001189,0.001189
91,10743.6,1.15063,0.73358,1.01976,0.79346,0.6001,0.67425,0.44177,1.19985,0.76906,1.05074,0.00109,0.00109,0.00109
92,10859.8,1.13254,0.72255,1.0139,0.79908,0.59762,0.67501,0.44226,1.1993,0.76839,1.05057,0.000991,0.000991,0.000991
93,10975.9,1.12543,0.71605,1.01052,0.79333,0.60005,0.67565,0.44316,1.19841,0.76789,1.05027,0.000892,0.000892,0.000892
94,11091.9,1.1207,0.71212,1.00793,0.79224,0.60115,0.67566,0.44383,1.19792,0.76721,1.05,0.000793,0.000793,0.000793
95,11207.9,1.11277,0.70782,1.00661,0.79771,0.59877,0.67627,0.44485,1.19721,0.76671,1.04962,0.000694,0.000694,0.000694
96,11324.6,1.10945,0.70744,1.00648,0.79838,0.59965,0.6769,0.44527,1.19653,0.76613,1.0493,0.000595,0.000595,0.000595
97,11440.2,1.1003,0.69975,1.00216,0.80502,0.59838,0.67772,0.44598,1.19558,0.76553,1.04887,0.000496,0.000496,0.000496
98,11555.7,1.09735,0.69716,1.0021,0.80544,0.59866,0.67825,0.44619,1.19502,0.76503,1.04864,0.000397,0.000397,0.000397
99,11672,1.09056,0.69335,0.99887,0.80495,0.60003,0.67851,0.44619,1.19441,0.7645,1.04839,0.000298,0.000298,0.000298
100,11788.4,1.08959,0.6922,0.99978,0.8021,0.59826,0.67887,0.44636,1.19387,0.76419,1.0481,0.000199,0.000199,0.000199
